Boomerang,"In a mixing glass half-filled with ice cubes, combine the gin, vermouth, bitters, and maraschino liqueur. Stir well. Strain into a cocktail glass and garnish with the cherry.",Alcoholic,Cocktail glass,"Gin,Dry Vermouth,Bitters,Maraschino liqueur,Maraschino cherry",https://www.thecocktaildb.com/images/media/drink/3m6yz81504389551.jpg
Barracuda,"Shake pour ingredients with ice. Strain into glass, top with Sparkling wine.",Alcoholic,Margarita glass,"Rum,Galliano,Pineapple Juice,Lime Juice,Prosecco",https://www.thecocktaildb.com/images/media/drink/jwmr1x1504372337.jpg
Brigadier,Mix ingredients in a warmed mug and stir.,Alcoholic,Coupe Glass,"Hot Chocolate,Green Chartreuse,Cherry Heering",https://www.thecocktaildb.com/images/media/drink/nl89tf1518947401.jpg
Broadside,"Half fill the glass with ice cubes. Crush the wormwood and add to ice. Pour rum, scotch and butters, then serve!",Alcoholic,Highball glass,"151 proof rum,Scotch,Bitters,Wormwood,Ice",https://www.thecocktaildb.com/images/media/drink/l2o6xu1582476870.jpg
Buccaneer,Pour the corona into an 18oz beer glass pour the bacardi limon into the beer stir very gently,Alcoholic,Beer pilsner,"Corona,Bacardi Limon",https://www.thecocktaildb.com/images/media/drink/upvtyt1441249023.jpg
Brain Fart,Mix all ingredients together. Slowly and gently. Works best if ice is added to punch bowl and soda's are very cold.,Alcoholic,Punch bowl,"Everclear,Vodka,Mountain Dew,Surge,Lemon juice,Rum",https://www.thecocktaildb.com/images/media/drink/rz5aun1504389701.jpg
Blackthorn,Stir sloe gin and vermouth with ice and strain into a cocktail glass. Add the twist of lemon peel and serve.,Alcoholic,Cocktail glass,"Sweet Vermouth,Sloe gin,Lemon peel",https://www.thecocktaildb.com/images/media/drink/dgj92f1616098672.jpg
Bob Marley,Layer in a 2 oz shot glass or pony glass,Alcoholic,Shot glass,"Midori melon liqueur,Jägermeister,Goldschlager",https://www.thecocktaildb.com/images/media/drink/rrqrst1477140664.jpg
Bible Belt,"Mix all ingredients, and pour over ice.",Alcoholic,Highball glass,"Southern Comfort,Triple sec,Lime,Sour mix",https://www.thecocktaildb.com/images/media/drink/6bec6v1503563675.jpg
Bubble Gum,Layer in order into a shot glass.,Alcoholic,Shot glass,"Vodka,Banana liqueur,Orange juice,Peach schnapps",https://www.thecocktaildb.com/images/media/drink/spuurv1468878783.jpg
Bumble Bee,"This is a layered shot. First pour the Bailey's into the shot glass. Then take an upside down spoon and touch it to the inside wall of the glass. Carefully add the Kahlua. Repeat this process for the Sambuca. If done properly, the alcohol will stay separated and resemble a bumble bee. Enjoy!!!",Alcoholic,Shot glass,"Baileys irish cream,Kahlua,Sambuca",https://www.thecocktaildb.com/images/media/drink/uwqpvv1461866378.jpg
Baby Eskimo,"Leave ice-cream out for about 10 minutes. Add ingredients in order, stir with chopstick (butter knife or spoon works too). Consume immediately and often. Nice and light, great for following a heavy drink.",Alcoholic,Collins Glass,"Kahlua,Milk,Vanilla ice-cream",https://www.thecocktaildb.com/images/media/drink/wywrtw1472720227.jpg
Boston Sour,"Shake juice of lemon, powdered sugar, blended whiskey, and egg white with cracked ice and strain into a whiskey sour glass. Add the slice of lemon, top with the cherry, and serve.",Alcoholic,Whiskey sour glass,"Blended whiskey,Lemon,Powdered sugar,Egg white,Lemon,Cherry",https://www.thecocktaildb.com/images/media/drink/kxlgbi1504366100.jpg
Bahama Mama,"Add 2 parts club soda or more or less to taste.

Mix it all together and pour over a bunch of ice. Drink with a straw.",Alcoholic,Highball glass,"Rum,Dark Rum,Banana liqueur,Grenadine,Pineapple Juice,Orange Juice,Sweet and Sour",https://www.thecocktaildb.com/images/media/drink/tyb4a41515793339.jpg
Casino,Pour all ingredients into shaker with ice cubes. Shake well. Strain into chilled cocktail glass. Garnish with a lemon twist and a maraschino cherry. Serve without a straw.,Alcoholic,Cocktail glass,"Gin,Maraschino liqueur,Lemon juice,Orange bitters,Cherry",https://www.thecocktaildb.com/images/media/drink/1mvjxg1504348579.jpg
Cafe Savoy,"Fill mug almost to top with coffee.Add milk, triple sec and brandy. Stir.",Alcoholic,Coffee mug,"Coffee,Milk,Triple sec,Brandy",https://www.thecocktaildb.com/images/media/drink/vqwptt1441247711.jpg
Caipirinha,Place lime and sugar into old fashioned glass and muddle (mash the two ingredients together using a muddler or a wooden spoon). Fill the glass with ice and add the Cachaça.,Alcoholic,Old-fashioned glass,"Sugar,Lime,Cachaca",https://www.thecocktaildb.com/images/media/drink/jgvn7p1582484435.jpg
Cream Soda,Pour 1oz of Spiced Rum into a highball glass with ice. Fill with Ginger Ale.,Alcoholic,Highball glass,"Spiced rum,Ginger ale",https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg
Cuba Libra,Fill tall glass with ice cubes. Add rum. Rub cut edge of lime on rim of glass then squeeze juice into glass. Fill with Coca-Cola. Garnish with lime slice. Enjoy!,Alcoholic,Highball glass,"Dark rum,Lime,Coca-Cola,Ice",https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg
Cherry Rum,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Cocktail glass,"Light rum,Cherry brandy,Light cream",https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg
Cuba Libre,Build all ingredients in a Collins glass filled with ice. Garnish with lime wedge.,Alcoholic,Highball glass,"Light rum,Lime,Coca-Cola",https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg
Corn n Oil,"Cut the half lime in half again. Add the lime, falernum, and bitters to a rocks glass. Muddle. Add the rum. (Aged Barbados rum such as Plantation 5 Year is recommended). Add ice and stir. Float the blackstrap rum on top. Serve with a straw.",Alcoholic,Old-fashioned glass,"Lime,Falernum,Angostura Bitters,Añejo rum,blackstrap rum",https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg
Citrus Coke,Pour half of coke in a glass. Then add Bacardi and top it off with the remaining coke. Stir and drink up!,Alcoholic,Highball Glass,"Bacardi Limon,Coca-Cola",https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg
Casa Blanca,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",Alcoholic,Cocktail glass,"Light rum,Triple sec,Lime juice,Maraschino liqueur",https://www.thecocktaildb.com/images/media/drink/usspxq1441553762.jpg
Clover Club,"Dry shake ingredients to emulsify, add ice, shake and served straight up.",Alcoholic,Cocktail glass,"Gin,Grenadine,Lemon,Egg white",https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg
Caipirissima,Same as Caipirinha but instead of cachaca you add WHITE RUM. It's great!!!!!!!!,Alcoholic,Collins Glass,"Lime,Sugar,White rum,Ice",https://www.thecocktaildb.com/images/media/drink/yd47111503565515.jpg
City Slicker,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",Alcoholic,Cocktail glass,"Brandy,Triple sec,Lemon juice",https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg
Campari Beer,Use a 15 oz glass. Add Campari first. Fill with beer.,Alcoholic,Beer mug,"Lager,Campari",https://www.thecocktaildb.com/images/media/drink/xsqrup1441249130.jpg
Chicago Fizz,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",Alcoholic,Highball glass,"Light rum,Port,Lemon,Powdered sugar,Egg white,Carbonated water",https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg
